# median-combination of 92 normalized COS/G130M+G160M AGN spectra
# C. Danforth Fri Jan 25 12:25:39 2013
# wavelength   normalized flux
1157.7393     0.956050
1157.8091     0.960653
1157.8789     0.946058
1157.9487     0.951615
1158.0185     0.959720
1158.0883     0.968849
1158.1581     0.990980
1158.2279     0.984892
1158.2976     0.986619
1158.3674      1.00065
1158.4372     0.998249
1158.5070     0.991360
1158.5768     0.995427
1158.6466     0.988134
1158.7164      1.00229
1158.7862      1.00331
1158.8560     0.989892
1158.9258      1.00306
1158.9956     0.989619
1159.0654     0.991958
1159.1352     0.977384
1159.2050     0.984084
1159.2748     0.980684
1159.3446     0.987992
1159.4144     0.985696
1159.4842     0.990806
1159.5540     0.976799
1159.6238     0.961257
1159.6936     0.960845
1159.7634     0.961926
1159.8332     0.962425
1159.9030     0.966672
1159.9728     0.968164
1160.0426     0.995933
1160.1124     0.978502
1160.1822     0.969230
1160.2520     0.991912
1160.3218     0.981645
1160.3916     0.986846
1160.4614     0.993372
1160.5311     0.978778
1160.6009     0.972868
1160.6707     0.983246
1160.7405     0.971705
1160.8103     0.995145
1160.8801     0.987846
1160.9499     0.990473
1161.0197     0.990575
1161.0895      1.00570
1161.1593      1.01241
1161.2291      1.00789
1161.2989     0.994896
1161.3687     0.986203
1161.4385     0.978747
1161.5083     0.981277
1161.5781     0.975563
1161.6479     0.988549
1161.7177     0.976328
1161.7875     0.990796
1161.8573     0.977602
1161.9271     0.974833
1161.9969     0.979649
1162.0667     0.976334
1162.1365     0.986621
1162.2063     0.986682
1162.2761     0.992095
1162.3459     0.991274
1162.4157     0.999136
1162.4855     0.979547
1162.5553     0.979591
1162.6251     0.974012
1162.6949     0.977544
1162.7646     0.980459
1162.8344     0.978882
1162.9042     0.976238
1162.9740     0.980075
1163.0438     0.986872
1163.1136     0.980859
1163.1834     0.989993
1163.2532     0.985662
1163.3230     0.991599
1163.3928     0.983353
1163.4626     0.987863
1163.5324     0.992956
1163.6022     0.994704
1163.6720     0.999933
1163.7418     0.997994
1163.8116      1.00078
1163.8814     0.992969
1163.9512     0.992815
1164.0210     0.987488
1164.0908     0.991489
1164.1606     0.988824
1164.2304     0.981979
1164.3002     0.984465
1164.3700     0.973197
1164.4398     0.977707
1164.5096     0.971829
1164.5794     0.973880
1164.6492     0.975305
1164.7190     0.984244
1164.7888     0.980111
1164.8586     0.981536
1164.9284     0.983684
1164.9981     0.981314
1165.0679     0.963996
1165.1377     0.977902
1165.2075     0.978167
1165.2773     0.978881
1165.3471     0.982543
1165.4169     0.991526
1165.4867     0.996233
1165.5565     0.996875
1165.6263     0.991389
1165.6961     0.989707
1165.7659     0.999546
1165.8357     0.991313
1165.9055      1.00590
1165.9753     0.996555
1166.0451     0.977738
1166.1149     0.985552
1166.1847     0.979917
1166.2545     0.991802
1166.3243     0.989615
1166.3941     0.970741
1166.4639     0.986198
1166.5337     0.977541
1166.6035     0.976663
1166.6733     0.977903
1166.7431     0.968968
1166.8129     0.975106
1166.8827     0.964133
1166.9525     0.966688
1167.0223     0.972940
1167.0921     0.977390
1167.1619     0.988256
1167.2316     0.992538
1167.3014     0.991801
1167.3712     0.992025
1167.4410     0.978006
1167.5108     0.981814
1167.5806     0.984380
1167.6504     0.988122
1167.7202     0.984851
1167.7900     0.996955
1167.8598     0.995388
1167.9296     0.995988
1167.9994     0.996390
1168.0692     0.991524
1168.1390      1.00023
1168.2088     0.982599
1168.2786     0.986448
1168.3484     0.986216
1168.4182     0.984822
1168.4880     0.989466
1168.5578     0.990415
1168.6276     0.988131
1168.6974     0.989951
1168.7672     0.980197
1168.8370     0.980538
1168.9068     0.993470
1168.9766     0.990096
1169.0464     0.992671
1169.1162     0.996255
1169.1860     0.992601
1169.2558     0.998497
1169.3256     0.990667
1169.3954     0.977713
1169.4651     0.979176
1169.5349     0.988482
1169.6047     0.997375
1169.6745     0.989604
1169.7443     0.984609
1169.8141     0.982803
1169.8839     0.995570
1169.9537     0.980939
1170.0235     0.985715
1170.0933     0.978137
1170.1631     0.978045
1170.2329     0.982628
1170.3027     0.991162
1170.3725     0.986871
1170.4423     0.996281
1170.5121     0.994616
1170.5819     0.991757
1170.6517     0.985812
1170.7215     0.998448
1170.7913      1.00011
1170.8611     0.996350
1170.9309     0.987789
1171.0007     0.980406
1171.0705     0.970536
1171.1403     0.971642
1171.2101     0.979980
1171.2799     0.985572
1171.3497     0.993439
1171.4195      1.00009
1171.4893     0.992014
1171.5591     0.985043
1171.6289     0.981730
1171.6986     0.983334
1171.7684     0.969861
1171.8382     0.980811
1171.9080     0.986498
1171.9778     0.983060
1172.0476     0.974771
1172.1174     0.981281
1172.1872     0.979680
1172.2570     0.980458
1172.3268     0.981829
1172.3966     0.987658
1172.4664     0.980100
1172.5362     0.985349
1172.6060     0.996267
1172.6758     0.987176
1172.7456     0.983924
1172.8154     0.988303
1172.8852     0.989496
1172.9550     0.997126
1173.0248     0.983228
1173.0946     0.998455
1173.1644     0.991533
1173.2342      1.00205
1173.3040      1.00695
1173.3738      1.01160
1173.4436     0.994957
1173.5134     0.999854
1173.5832     0.996109
1173.6530     0.988713
1173.7228     0.983841
1173.7926     0.992739
1173.8624      1.00091
1173.9321     0.995913
1174.0019     0.997945
1174.0717     0.992578
1174.1415     0.986417
1174.2113     0.990971
1174.2811     0.982320
1174.3509     0.991900
1174.4207     0.982306
1174.4905     0.988977
1174.5603     0.981244
1174.6301     0.972650
1174.6999     0.970646
1174.7697     0.977552
1174.8395     0.966313
1174.9093     0.963742
1174.9791     0.975555
1175.0489     0.982693
1175.1187     0.981061
1175.1885     0.976715
1175.2583     0.967607
1175.3281     0.977913
1175.3979     0.976586
1175.4677     0.980570
1175.5375     0.986142
1175.6073     0.984641
1175.6771     0.986562
1175.7469     0.985800
1175.8167     0.981838
1175.8865     0.987249
1175.9563     0.991937
1176.0261     0.991379
1176.0959     0.994159
1176.1656     0.984708
1176.2354     0.979220
1176.3052     0.989587
1176.3750     0.986931
1176.4448     0.984716
1176.5146     0.984033
1176.5844     0.985910
1176.6542     0.986637
1176.7240     0.998548
1176.7938     0.992547
1176.8636     0.996129
1176.9334     0.994153
1177.0032     0.988384
1177.0730     0.983985
1177.1428     0.982864
1177.2126     0.980875
1177.2824     0.979843
1177.3522     0.986258
1177.4220     0.988076
1177.4918     0.993380
1177.5616     0.996569
1177.6314     0.989314
1177.7012     0.990835
1177.7710     0.979911
1177.8408     0.986052
1177.9106     0.992004
1177.9804     0.986875
1178.0502     0.997148
1178.1200     0.992211
1178.1898     0.999497
1178.2596      1.00337
1178.3294     0.986709
1178.3991     0.987039
